  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 6409                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.6355   0.02027   0.01220  -0.1550   0.8202   0.4231
   0.500   0.6933   0.01868   0.01129  -0.1535   0.8032   1.0000
   1.000   0.7565   0.01846   0.01070  -0.1539   0.7860   1.0000
   1.500   0.8185   0.01834   0.01030  -0.1542   0.7690   1.0000
   2.000   0.8703   0.01879   0.01060  -0.1533   0.7480   1.0000
   2.500   0.9261   0.01911   0.01080  -0.1529   0.7298   1.0000
   3.000   0.9819   0.01952   0.01110  -0.1527   0.7130   1.0000
   3.500   1.0367   0.02005   0.01160  -0.1524   0.6969   1.0000
   4.000   1.0904   0.02070   0.01225  -0.1519   0.6813   1.0000
   4.500   1.1428   0.02147   0.01310  -0.1514   0.6661   1.0000
   5.000   1.1941   0.02234   0.01408  -0.1507   0.6511   1.0000
   5.500   1.2443   0.02330   0.01523  -0.1499   0.6363   1.0000
   6.000   1.2938   0.02433   0.01646  -0.1490   0.6214   1.0000
   6.500   1.3421   0.02542   0.01784  -0.1478   0.6060   1.0000
   7.000   1.3845   0.02671   0.01949  -0.1458   0.5883   1.0000
   7.500   1.4413   0.02476   0.01744  -0.1428   0.5474   1.0000
   8.000   1.4789   0.02415   0.01695  -0.1380   0.5040   1.0000
   8.500   1.5058   0.02412   0.01713  -0.1318   0.4564   1.0000
   9.000   1.5008   0.02492   0.01800  -0.1206   0.3603   1.0000
  10.000   1.4043   0.03736   0.02831  -0.0951   0.1074   1.0000
  10.500   1.3839   0.04365   0.03461  -0.0888   0.0867   1.0000
  11.000   1.3753   0.04933   0.04035  -0.0840   0.0737   1.0000
  11.500   1.3887   0.05341   0.04437  -0.0793   0.0638   1.0000
  12.000   1.4407   0.05629   0.04718  -0.0757   0.0545   1.0000
  12.500   1.4842   0.06049   0.05171  -0.0734   0.0482   1.0000
  13.000   1.5461   0.06945   0.06119  -0.0730   0.0455   1.0000
  13.500   1.5338   0.07679   0.06922  -0.0683   0.0452   1.0000
  14.000   1.5057   0.08459   0.07764  -0.0643   0.0450   1.0000
  14.500   1.4715   0.09359   0.08721  -0.0621   0.0449   1.0000
  15.000   1.4342   0.10394   0.09806  -0.0621   0.0451   1.0000
